problemSize,sequential_graham_scan,BSP_convex_hull_on_2_processors,BSP_convex_hull_on_4_processors
1024,0.000843459,0.1297,0.134986
2048,0.00178346,0.145127,0.158558
4096,0.0036021,0.169707,0.19306
8192,0.00779027,0.204336,0.249206
16384,0.016066,0.265202,0.350682
32768,0.033678,0.385918,0.536899
65536,0.0697719,0.626458,0.923778
131072,0.146841,1.10723,1.7143
